body.lemmas,body.text
"грузооборот , правда , снизился на 4,2 процента - до 28,25 млн тонн .","Грузооборот, правда, снизился на 4,2 процента — до 28,25 млн тонн."
"предполагается , что весной этого года мужчина несколько раз нападал на случайных прохожих . дело происходило ночью и на выходных . мужчина подозревается в нарушении общественного порядка с применением насилия . подозреваемый находится под стражей . полиция просит всех , кто мог стать жертвой человека на фотографиях , позвонить по номерам 521 2627 , 612 5451 или 110.","Предполагается, что весной этого года мужчина несколько раз нападал на случайных прохожих. Дело происходило ночью и на выходных. Мужчина подозревается в нарушении общественного порядка с применением насилия. Подозреваемый находится под стражей.Полиция просит всех, кто мог стать жертвой человека на фотографиях, позвонить по номерам 521 2627, 612 5451 или 110."
"новым главой федерации на конгрессе в москве избран серб ненад лалович . внесены изменения и в правила . если раньше продолжительность периодов составляла две минуты , то теперь схватки будут состоять из двух трехминутных периодов . изменен порядок подсчета очков . после олимпиады-2014 фила собирается сократить число вручаемых на играх бронзовых медалей с двух до одной . кроме того , в каждой весовой категории будет выступать не более 16 спортсменов .","Новым главой федерации на конгрессе в Москве избран серб Ненад Лалович.Внесены изменения и в правила. Если раньше продолжительность периодов составляла две минуты, то теперь схватки будут состоять из двух трехминутных периодов. Изменен порядок подсчета очков.После Олимпиады-2014 ФИЛА собирается сократить число вручаемых на Играх бронзовых медалей с двух до одной. Кроме того, в каждой весовой категории будет выступать не более 16 спортсменов."
"женская сборная эстонии в матче первого тура встречалась в даугавпилсе с латвией . накануне этой встречи букмекеры считали фаворитом противостояния хозяек площадки . котировка на победу латвии была 1.30 , тогда как возможный выигрыш эстонской команды оценивался коэффициентом 3.20. однако ход матча опроверг расклады букмекеров . сборная эстонии уверенно выиграла стартовый поединок за 64 минуты - 3 : 0 ( 25 : 13 , 25 : 16 , 25 : 9 ). в субботу эстонские девушки сыграют с исландией , которая сегодня уступила литовкам - 0 : 3. в следующий раунд квалификации чемпионата мира выйдут две лучшие команды из группы . мужская сборная эстонии в раквере победила белоруссию 3 : 1 ( 25 : 23 , 20 : 25 , 25 : 17 , 25 : 21 ). в субботу подопечные аво кеэля встретятся с данией , которая в пятницу проиграла латвии - 0 : 3.","Женская сборная Эстонии в матче первого тура встречалась в Даугавпилсе с Латвией.Накануне этой встречи букмекеры считали фаворитом противостояния хозяек площадки. Котировка на победу Латвии была 1.30, тогда как возможный выигрыш эстонской команды оценивался коэффициентом 3.20.Однако ход матча опроверг расклады букмекеров. Сборная Эстонии уверенно выиграла стартовый поединок за 64 минуты - 3:0 (25:13, 25:16, 25:9).В субботу эстонские девушки сыграют с Исландией, которая сегодня уступила литовкам - 0:3.В следующий раунд квалификации чемпионата мира выйдут две лучшие команды из группы.Мужская сборная Эстонии в Раквере победила Белоруссию 3:1 (25:23, 20:25, 25:17, 25:21). В субботу подопечные Аво Кеэля встретятся с Данией, которая в пятницу проиграла Латвии - 0:3."
"одной из причин такого скачка является изменение законодательства финляндии и снижение требования продолжительности постоянного проживания в стране , передает rus.err.ee со ссылкой на радионовости err . новое изменение закона позволяет владеющему финским языком человеку получить гражданство после четырех лет проживания в стране . требования были смягчены ради улучшения интеграции в финляндии . большая часть новых граждан финляндии приехали из россии или из стран европейского союза .","Одной из причин такого скачка является изменение законодательства Финляндии и снижение требования продолжительности постоянного проживания в стране, передает rus.err.ee со ссылкой на радионовости ERR.Новое изменение закона позволяет владеющему финским языком человеку получить гражданство после четырех лет проживания в стране. Требования были смягчены ради улучшения интеграции в Финляндии.Большая часть новых граждан Финляндии приехали из России или из стран Европейского союза."
"как сообщает полиция , в среду , 22 мая , в 11 : 13 на 11-м километре шоссе вильянди-сууре-яани в деревне вастемыйза грузовик scania , за рулем которого находился 47-летний тойво , врезался в остановившийся впереди себя автомобиль volkswagen golf , которым управлял 69-летний вейко , передает rus.err.ee . от полученного удара volkswagen golf вылетел на встречную полосу и столкнулся с ехавшей по ней автомашиной volkswagen golf variant , за рулем которой был 55-летний вольдемар . вейко и его 65-летнего пассажира доставили в больницу города вильянди .","Как сообщает полиция, в среду, 22 мая, в 11:13 на 11-м километре шоссе Вильянди-Сууре-Яани в деревне Вастемыйза грузовик Scania, за рулем которого находился 47-летний Тойво, врезался в остановившийся впереди себя автомобиль Volkswagen Golf, которым управлял 69-летний Вейко, передает rus.err.ee.От полученного удара Volkswagen Golf вылетел на встречную полосу и столкнулся с ехавшей по ней автомашиной Volkswagen Golf Variant, за рулем которой был 55-летний Вольдемар.Вейко и его 65-летнего пассажира доставили в больницу города Вильянди."
"на юге города регсвед протестующие напали на полицейский участок и пытались его поджечь . в других пригородах молодые люди бросали камни в полицейских и поджигали автомобили . полиция заявила , что будет избегать конфронтаций . родители организовали патрулирование . они считают , что эта тактика оправдала себя пять лет назад во время схожих конфликтов в другом шведском городе . как пишут шведские газеты , лишь за одну ночь с воскресенья на понедельник было сожжено более 100 автомобилей . по словам представителя стокгольмской полиции шелля линдгрена , поджоги начались в районе хусбю на западе шведской столицы , после того как стражи порядка застрелили 69-летнего мужчину , который , по их словам , угрожал им мачете .","На юге города Регсвед протестующие напали на полицейский участок и пытались его поджечь. В других пригородах молодые люди бросали камни в полицейских и поджигали автомобили.Полиция заявила, что будет избегать конфронтаций.Родители организовали патрулирование. Они считают, что эта тактика оправдала себя пять лет назад во время схожих конфликтов в другом шведском городе.Как пишут шведские газеты, лишь за одну ночь с воскресенья на понедельник было сожжено более 100 автомобилей.По словам представителя стокгольмской полиции Шелля Линдгрена, поджоги начались в районе Хусбю на западе шведской столицы, после того как стражи порядка застрелили 69-летнего мужчину, который, по их словам, угрожал им мачете."
"в 10 : 33 а выруском уезде , в волости рыуге , в деревне нурси в реке рыуге обнаружили тело утонувшего мужчины 1956 года рождения . в этом году уже утонуло 11 человек . в прошлом году за такой же период утонуло 15 человек .","В 10:33 а Выруском уезде, в волости Рыуге, в деревне Нурси в реке Рыуге обнаружили тело утонувшего мужчины 1956 года рождения. В этом году уже утонуло 11 человек. В прошлом году за такой же период утонуло 15 человек."
"дизайн прототипа дает представление о том , как может выглядеть аналогичная серийная модель , которая займет в линейке марки место на ступеньку выше sorento . внедорожник , чья длина превышает 4,6 метра , получил четыре посадочных места , отделку салона деревом , стеклянные элементы крыши и контрастные вставки на передних крыльях в стиле range rover . информации о силовой установке концепт-кара cross gt пока нет . помимо cross gt , на чикагском автосалоне также представят машину , которая продолжит серию машин для супергероев из « лиги справедливости ». ею станет гибридный вариант модели optima для супермена . весной компания kia покажет еще один прототип . он продемонстрирует предвестника новой серийной модели , которая , как ожидается , составит конкуренцию кроссоверу nissan juke .","Дизайн прототипа дает представление о том, как может выглядеть аналогичная серийная модель, которая займет в линейке марки место на ступеньку выше Sorento. Внедорожник, чья длина превышает 4,6 метра, получил четыре посадочных места, отделку салона деревом, стеклянные элементы крыши и контрастные вставки на передних крыльях в стиле Range Rover. Информации о силовой установке концепт-кара Cross GT пока нет.Помимо Cross GT, на Чикагском автосалоне также представят машину, которая продолжит серию машин для супергероев из «Лиги Справедливости». Ею станет гибридный вариант модели Optima для Супермена.Весной компания Kia покажет еще один прототип. Он продемонстрирует предвестника новой серийной модели, которая, как ожидается, составит конкуренцию кроссоверу Nissan Juke."
"всех , кто может поделиться информацией о местонахождении этого человека , тартуская криминальная полиция просит позвонить по телефону 5647 9492 или 110.","Всех, кто может поделиться информацией о местонахождении этого человека, Тартуская криминальная полиция просит позвонить по телефону 5647 9492 или 110."
"вызов был получен в 11 : 00 , сообщила идаская префектура полиции порталу delfi .” три автомобиля вылетели в кювет , в ходе происшествии никто не пострадал . водители не учли дорожные обстоятельства ”, - прокомментировал случившееся пресс-секретарь полиции . на месте происшествия движение не нарушено .","Вызов был получен в 11:00, сообщила Идаская префектура полиции порталу Delfi.”Три автомобиля вылетели в кювет, в ходе происшествии никто не пострадал. Водители не учли дорожные обстоятельства”, — прокомментировал случившееся пресс-секретарь полиции. На месте происшествия движение не нарушено."
"трагедия произошла в минувшее воскресенье . родители юной спортсменки обнаружили утром дочь без сознания . они вызвали скорую помощь , но в больнице спортсменку спасти не смогли . накануне трагедии юная пловчиха была удостоена специального приза на соревнованиях и вместе с подружками отмечала эту награду на вечеринке .","Трагедия произошла в минувшее воскресенье.Родители юной спортсменки обнаружили утром дочь без сознания. Они вызвали скорую помощь, но в больнице спортсменку спасти не смогли.Накануне трагедии юная пловчиха была удостоена специального приза на соревнованиях и вместе с подружками отмечала эту награду на вечеринке."
"в брюсселе 7 февраля , с 14 : 00 до 17 : 00 , уже в четвертый раз фермеры эстонии , латвии и литвы выйдут на демонстрацию требовать равных конкурентных возможностей , пишет maaleht . прибалтийские фермерские организации устроят небольшой певческий праздник , на котором также прозвучит песня ” страны балтии , проснитесь !”. на демонстрации выступят латвийский хор и литовские молодые фермеры . эстонию представят музыканты кайт тамра и альдо ярве . обсуждению бюджета предшествовал всеевропейский фермерский конгресс , в котором приняли участие также 400 представителей фермеров . от руководителей государств на конгрессе потребовали сильной единой политики в сельскохозяйственной сфере и порядочного субсидирования . ” на примере стран балтии мы можем ясно представить к каким негативным последствиям приводит низкое субсидирование и чрезмерно либеральная сельскохозяйственная политика . в странах балтии в 1990- годах сельское хозяйство составляло около 30 % от общего производства , теперь же эта цифра упала больше чем в два раза . сегодня в эстонии около 300 000 гектаров неиспользованных сельскохозяйственных угодий , половина всей нашей площади занимает лес , поэтому нам непонятно предложение комиссии о сокращении угодий еще на 60 000 гектаров ”, - говорил в своей речи на конгрессе руководитель эстонской сельскохозяйственной палаты роомет сырму .","В Брюсселе 7 февраля, с 14:00 до 17:00, уже в четвертый раз фермеры Эстонии, Латвии и Литвы выйдут на демонстрацию требовать равных конкурентных возможностей, пишет Maaleht. Прибалтийские фермерские организации устроят небольшой певческий праздник, на котором также прозвучит песня ”Страны Балтии, проснитесь!”. На демонстрации выступят латвийский хор и литовские молодые фермеры. Эстонию представят музыканты Кайт Тамра и Альдо Ярве.Обсуждению бюджета предшествовал всеевропейский фермерский конгресс, в котором приняли участие также 400 представителей фермеров. От руководителей государств на конгрессе потребовали сильной единой политики в сельскохозяйственной сфере и порядочного субсидирования.  ”На примере стран Балтии мы можем ясно представить к каким негативным последствиям приводит низкое субсидирование и чрезмерно либеральная сельскохозяйственная политика. В странах Балтии в 1990- годах сельское хозяйство составляло около 30% от общего производства, теперь же эта цифра упала больше чем в два раза. Сегодня в Эстонии около 300 000 гектаров неиспользованных сельскохозяйственных угодий, половина всей нашей площади занимает лес, поэтому нам непонятно предложение комиссии о сокращении угодий еще на 60 000 гектаров”, — говорил в своей речи на конгрессе руководитель Эстонской сельскохозяйственной палаты Роомет Сырму."
"восьмидесятилетняя любовь из дома по улице тууле , 7 говорит , что за декабрь , когда температура в ее квартире площадью 44,6 квадратного метра не поднималась выше 9 градусов и по стенам пошла сырость , плесень , она получила счет за тепло - 165 евро , за январь - 151 евро , пишет "" северное побережье "". беда этого и других домов сомпа в том , что здесь много пустующих квартир , в которых обрезаны батареи . по факту теплосчетчик показывает , что дом потребил вроде бы немало тепла , а в квартирах у людей холодно , потому что рядом - неотапливаемые помещения соседей .","Восьмидесятилетняя Любовь из дома по улице Тууле, 7 говорит, что за декабрь, когда температура в ее квартире площадью 44,6 квадратного метра не поднималась выше 9 градусов и по стенам пошла сырость, плесень, она получила счет за тепло — 165 евро, за январь — 151 евро, пишет ""Северное побережье"".Беда этого и других домов Сомпа в том, что здесь много пустующих квартир, в которых обрезаны батареи. По факту теплосчетчик показывает, что дом потребил вроде бы немало тепла, а в квартирах у людей холодно, потому что рядом — неотапливаемые помещения соседей."
"подозреваемого задержали на месте происшествия , им оказался 58-летний мужчина , сообщает полиция .","Подозреваемого задержали на месте происшествия, им оказался 58-летний мужчина, сообщает полиция."
в качестве подозреваемого задержан 81-летний мужчина .,В качестве подозреваемого задержан 81-летний мужчина.
""" сейчас в фокусе два вопроса - во-первых , программа реструктуризации , которую кабинет министров обсуждал в прошлый четверг , и предприятие продолжает работу в этом направлении . эта программа должна стать тем , что обеспечит предприятию долгосрочную финансовую дееспособность "",- заявил министр партс на состоявшейся в четверг пресс-конференции правительства . вторым вопросом партс назвал делопроизводство европейской комиссии относительно возможного оказания авиакомпании государственной помощи , передает bns . по словам министра , европейская практика показывает , что этот процесс может занять до двух-двух с половиной лет . "" ситуация в estonian air динамична , и мы , безусловно , будем обсуждать ее в правительстве и в последующие недели "",- сказал партс . отвечая на вопрос bns о том , что произойдет , когда закончатся деньги из выделенного правительством в четверг авиакомпании транша в 4,5 млн евро , партс сказал , что дальнейшее будет зависеть от деятельности самого предприятия и от результатов реструктуризации . "" и от кратковременных результатов . многое будет зависеть и от того , сколько будет пассажиров и как повезет с продажей билетов . мы это обсудим , это очень сложный вопрос . я не хочу , чтобы эта невнятная ситуация затягивалась надолго , достижение ясности скоро , как это возможно - в интересах правительства "",- сказал партс . партс также напомнил о том , как в декабре парламенты швеции , норвегии и дании ратифицировали кредитные гарантии кредитов коммерческого банка для авиакомпании sas , комментировали это парламенты коротко - они действовали в интересах рыночного инвестора . "" если они могут это доказать - то они действовали вполне легально ,"" - сказал партс .","""Сейчас в фокусе два вопроса — во-первых, программа реструктуризации, которую кабинет министров обсуждал в прошлый четверг, и предприятие продолжает работу в этом направлении. Эта программа должна стать тем, что обеспечит предприятию долгосрочную финансовую дееспособность"",- заявил министр Партс на состоявшейся в четверг пресс-конференции правительства.Вторым вопросом Партс назвал делопроизводство Европейской Комиссии относительно возможного оказания авиакомпании государственной помощи, передает BNS. По словам министра, европейская практика показывает, что этот процесс может занять до двух-двух с половиной лет. ""Ситуация в Estonian Air динамична, и мы, безусловно, будем обсуждать ее в правительстве и в последующие недели"",- сказал Партс.Отвечая на вопрос BNS о том, что произойдет, когда закончатся деньги из выделенного правительством в четверг авиакомпании транша в 4,5 млн евро, Партс сказал, что дальнейшее будет зависеть от деятельности самого предприятия и от результатов реструктуризации. ""И от кратковременных результатов. Многое будет зависеть и от того, сколько будет пассажиров и как повезет с продажей билетов. Мы это обсудим, это очень сложный вопрос. Я не хочу, чтобы эта невнятная ситуация затягивалась надолго, достижение ясности скоро, как это возможно — в интересах правительства"",- сказал Партс. Партс также напомнил о том, как в декабре парламенты Швеции, Норвегии и Дании ратифицировали кредитные гарантии кредитов коммерческого банка для авиакомпании SAS, комментировали это парламенты коротко — они действовали в интересах рыночного инвестора. ""Если они могут это доказать — то они действовали вполне легально,"" — сказал Партс."
""" я приехал сюда не для проигрыша , есть определенные индикаторы , которые позволяют ожидать , что наши результаты станут еще лучше "", - отметил он . при этом премьер-министр признал , что не хочет излишне взвинчивать ожидания , "" поскольку пока нет договоренности по всем пунктам , договоренности нет вообще "". в четверг вечером в брюсселе начались переговоры по следующему бюджету ес . ансип выразил надежду , что в ходе заседания , которое должно завершиться не позднее 6 часов утра , бюджет будет принят .","""Я приехал сюда не для проигрыша, есть определенные индикаторы, которые позволяют ожидать, что наши результаты станут еще лучше"", — отметил он.При этом премьер-министр признал, что не хочет излишне взвинчивать ожидания, ""поскольку пока нет договоренности по всем пунктам, договоренности нет вообще"".В четверг вечером в Брюсселе начались переговоры по следующему бюджету ЕС. Ансип выразил надежду, что в ходе заседания, которое должно завершиться не позднее 6 часов утра, бюджет будет принят."
"по оценке министерства юстиции , вопросы , касающиеся принципиальных изменений в выборах в рийгикогу следует обсуждать в широком круге , передала bns пресс-служба правительства . министерство отметило , что в проекте перечислены только позитивные последствия введения этого принципа , но не упомянуты другие его возможные варианты . по этой причине правительство считает необходимым провести принципиальные дебаты по проекту и провести анализ последствий его реализации . авторами идеи являются члены irl тынис лукас , андрес херкель и юку-калле райд . цель законопроекта - сделать открытыми общереспубликанские списки кандидатов по выборам в парламент . это означает , что за каждым кандидатом будет закрепляться число поданных за него голосов и будет учитываться размер избирательного округа . в результате будет исключено , что в парламент пройдут кандидаты исключительно благодаря своему положению в общереспубликанском списке , несмотря на то , что число поданных за него голосов может оказаться ниже , чем установленная в его избирательном округе простая квота .","По оценке Министерства юстиции, вопросы, касающиеся принципиальных изменений в выборах в Рийгикогу следует обсуждать в широком круге, передала BNS пресс-служба правительства. Министерство отметило, что в проекте перечислены только позитивные последствия введения этого принципа, но не упомянуты другие его возможные варианты. По этой причине правительство считает необходимым провести принципиальные дебаты по проекту и провести анализ последствий его реализации.Авторами идеи являются члены IRL Тынис Лукас, Андрес Херкель и Юку-Калле Райд.Цель законопроекта — сделать открытыми общереспубликанские списки кандидатов по выборам в парламент. Это означает, что за каждым кандидатом будет закрепляться число поданных за него голосов и будет учитываться размер избирательного округа.В результате будет исключено, что в парламент пройдут кандидаты исключительно благодаря своему положению в общереспубликанском списке, несмотря на то, что число поданных за него голосов может оказаться ниже, чем установленная в его избирательном округе простая квота."
"учащийся школы виймси каспар считает , что в эстонии жить хорошо . по его словам , здесь хороший язык и добрые друзья ! его пожелание к юбилею республики простое : главное , чтобы не было войны , а хватало счастья и денег ! var c "" eesti ""; createdelfivideo ({ width : 517 , height : 323 , salt :"" gcuykhlz ""}); страница проекта ” 95 жителей эстонии ”.","Учащийся школы Виймси Каспар считает, что в Эстонии жить хорошо. По его словам, здесь хороший язык и добрые друзья! Его пожелание к юбилею республики простое: главное, чтобы не было войны, а хватало счастья и денег!var c=""EESTI"";_createDelfiVideo({width:517,height:323,salt:""gCuykhlZ""}); Страница проекта ”95 жителей Эстонии”."
"agence france-press отмечает , что документ подписал каждый 47-й испанец . кампания против рахоя началась после публикации документов , которые обвиняют премьера и других членов возглавляемой им консервативной народной партии в коррупции . речь идет о бухгалтерских отчетах , написанных бывшим казначеем партии луисом барсенасом и опубликованных в газете el pai . в петиции содержится требование о немедленной отставке рахоя и проведении досрочных выборов , а также отставок всех заподозренных в коррупции членов народной партии , занимающих какие-либо государственные должности либо должности в партии . рахой , барсенас и другие представители партии отвергают выдвинутые против них обвинения и утверждают , что опубликованные отчеты являются фальшивкой .","Agence France-Presse отмечает, что документ подписал каждый 47-й испанец.Кампания против Рахоя началась после публикации документов, которые обвиняют премьера и других членов возглавляемой им консервативной Народной партии в коррупции. Речь идет о бухгалтерских отчетах, написанных бывшим казначеем партии Луисом Барсенасом и опубликованных в газете El Pais.В петиции содержится требование о немедленной отставке Рахоя и проведении досрочных выборов, а также отставок всех заподозренных в коррупции членов Народной партии, занимающих какие-либо государственные должности либо должности в партии.Рахой, Барсенас и другие представители партии отвергают выдвинутые против них обвинения и утверждают, что опубликованные отчеты являются фальшивкой."
"сотрудники кгб установили , что некие злоумышленники взломали сайты национальных операторов мтс и "" велком "" и осуществили через них рассылку около тысячи сообщений о грядущей девальвации белорусского рубля . в sms говорилось , что "" с 8 января 2013 года курс доллара сша будет составлять 14 340 белорусских рублей , курс евро - 18 116 белорусских рублей "". в качестве номера отправителя в сообщениях был указан телефон национального банка белоруссии . как установили сотрудники белорусских спецслужб , рассылка осуществлялась через сервер на территории индии . по данным на 4 января курс белорусского рубля к евро и доллару сша был установлен на уровне 11 230 к 1 и 8 630 к 1 соответственно . как отметили в национальном банке , к 8 января курс рубля не сможет упасть , хотя бы потому , что 5-7 января - выходные дни , и торги в них не проводятся . управление безопасности в сфере информационных технологий ведет розыск лиц , причастных к организации провокации . привела ли рассылка к какой-либо реакции со стороны населения , не уточняется .","Сотрудники КГБ установили, что некие злоумышленники взломали сайты национальных операторов МТС и ""Велком"" и осуществили через них рассылку около тысячи сообщений о грядущей девальвации белорусского рубля. В SMS говорилось, что ""с 8 января 2013 года курс доллара США будет составлять 14 340 белорусских рублей, курс евро – 18 116 белорусских рублей"".В качестве номера отправителя в сообщениях был указан телефон Национального банка Белоруссии. Как установили сотрудники белорусских спецслужб, рассылка осуществлялась через сервер на территории Индии.По данным на 4 января курс белорусского рубля к евро и доллару США был установлен на уровне 11 230 к 1 и 8 630 к 1 соответственно. Как отметили в Национальном банке, к 8 января курс рубля не сможет упасть, хотя бы потому, что 5-7 января - выходные дни, и торги в них не проводятся.Управление безопасности в сфере информационных технологий ведет розыск лиц, причастных к организации провокации. Привела ли рассылка к какой-либо реакции со стороны населения, не уточняется."
