cyrillic,latin
"""Эта трагедия особенно ужасает потому, что она произошла сейчас, в канун новогодних праздников, когда многие люди едут в гости к своим близким"", - подчеркнул президент, сообщает BNS со ссылкой на пресс-службу канцелярии президента.""Выражаю соболезнования родным и близким погибших в результате взрыва на вокзале в Волгограде, желаю скорейшего выздоровления пострадавшим"", - сказал Ильвес.Соболезнования в связи с трагедией в Волгограде выразил своему российскому коллеге и министр иностранных дел Эстонии Урмас Паэт.""Эстония осуждает терроризм. Организация взрывов, убийство людей, нанесение им увечий — это жестокое преступление"", - заявил Паэт.","""Eta tragedija osobenno uzhasaet potomu, chto ona proizoshla sejchas, v kanun novogodnih prazdnikov, kogda mnogie ljudi edut v gosti k svoim blizkim"", - podcherknul prezident, soobschaet BNS so ssylkoj na press-sluzhbu kantseljarii prezidenta.""Vyrazhaju soboleznovanija rodnym i blizkim pogibshih v rezul'tate vzryva na vokzale v Volgograde, zhelaju skorejshego vyzdorovlenija postradavshim"", - skazal Il'ves.Soboleznovanija v svjazi s tragediej v Volgograde vyrazil svoemu rossijskomu kollege i ministr inostrannyh del Estonii Urmas Paet.""Estonija osuzhdaet terrorizm. Organizatsija vzryvov, ubijstvo ljudej, nanesenie im uvechij — eto zhestokoe prestuplenie"", - zajavil Paet."
"В первой половине гонки лидерство удерживал Себастьен Ожье из Volkswagen. Француз, идущий на первом месте в чемпионате, на 17 секунд оторвался от Леба, но на седьмом допе допустил ошибку и откатился на третью строчку протокола. Затем Ожье удалось опередить напарника Леба в команде Citroen Микко Хирвонена, но бороться с лидером французской команды он не стал. К концу гонки отрыв Леба от Ожье составил 55 секунд.Борьбу за третье место между собой вели Яри-Матти Латвала (Volkswagen) и Евгений Новиков (Qatar M-Sport). Финн потерял две минуты после прокола в пятницу, в результате чего россиянин вышел на третье место. Но выиграв пять последних спецучастков гонки, Латвала смог обойти Новикова. Евгений завершил гонку на четвертом месте, повторив свой лучший результат в сезоне. Следом финишировал его напарник по команде Тьерри Невилль. Микко Хирвонен, потерявший более пяти минут из-за проблем с мотором, остался шестым, опередив Мадса Остберга, Андреаса Миккельсена и Дани Сордо.В личном зачете чемпионата Ожье сохранил за собой первую строчку, а на второе место вышел Леб. Ближайший соперник Ожье в борьбе за титул, Микко Хирвонен, отстает на 65 очков. В зачете марок, благодаря двойному подиуму в Аргентине, Volkswagen упрочила свое лидерство.","V pervoj polovine gonki liderstvo uderzhival Sebast'en Ozh'e iz Volkswagen. Frantsuz, iduschij na pervom meste v chempionate, na 17 sekund otorvalsja ot Leba, no na sed'mom dope dopustil oshibku i otkatilsja na tret'ju strochku protokola. Zatem Ozh'e udalos' operedit' naparnika Leba v komande Citroen Mikko Hirvonena, no borot'sja s liderom frantsuzskoj komandy on ne stal. K kontsu gonki otryv Leba ot Ozh'e sostavil 55 sekund.Bor'bu za tret'e mesto mezhdu soboj veli Jari-Matti Latvala (Volkswagen) i Evgenij Novikov (Qatar M-Sport). Finn poterjal dve minuty posle prokola v pjatnitsu, v rezul'tate chego rossijanin vyshel na tret'e mesto. No vyigrav pjat' poslednih spetsuchastkov gonki, Latvala smog obojti Novikova. Evgenij zavershil gonku na chetvertom meste, povtoriv svoj luchshij rezul'tat v sezone. Sledom finishiroval ego naparnik po komande T'erri Nevill'. Mikko Hirvonen, poterjavshij bolee pjati minut iz-za problem s motorom, ostalsja shestym, operediv Madsa Ostberga, Andreasa Mikkel'sena i Dani Sordo.V lichnom zachete chempionata Ozh'e sohranil za soboj pervuju strochku, a na vtoroe mesto vyshel Leb. Blizhajshij sopernik Ozh'e v bor'be za titul, Mikko Hirvonen, otstaet na 65 ochkov. V zachete marok, blagodarja dvojnomu podiumu v Argentine, Volkswagen uprochila svoe liderstvo."
"Армейский клуб в субботу победил ""Терек"" - 1:0 (1:0), а питерцы расправились с ""Аланией"" - 4:0 (1:0).В составе ""Зенита"" трижды поразил ворота соперника бразилец Халк.ЦСКА набрал 60 очков, ""Зенит"" - 57. Но питерский клуб ждет решения Международного спортивного арбитражного суда, на котором будет рассматриваться апелляция ""Зенита"" в связи с инцидентом в матче чемпионата России против московского ""Динамо"".Напомним, что петарда, брошенная из сектора болельщиков ""Зенита"", угодила в первом тайме в голкипера ""Динамо"". Матч был прерван - питерцам российские футбольные власти присудили поражение. Апелляция ""Зенита"" будет рассматриваться в Лозанне 9 мая.","Armejskij klub v subbotu pobedil ""Terek"" - 1:0 (1:0), a pitertsy raspravilis' s ""Alaniej"" - 4:0 (1:0).V sostave ""Zenita"" trizhdy porazil vorota sopernika brazilets Halk.TsSKA nabral 60 ochkov, ""Zenit"" - 57. No piterskij klub zhdet reshenija Mezhdunarodnogo sportivnogo arbitrazhnogo suda, na kotorom budet rassmatrivat'sja apelljatsija ""Zenita"" v svjazi s intsidentom v matche chempionata Rossii protiv moskovskogo ""Dinamo"".Napomnim, chto petarda, broshennaja iz sektora bolel'schikov ""Zenita"", ugodila v pervom tajme v golkipera ""Dinamo"". Match byl prervan - pitertsam rossijskie futbol'nye vlasti prisudili porazhenie. Apelljatsija ""Zenita"" budet rassmatrivat'sja v Lozanne 9 maja."
"Пресс-секретарь Пыхьяского спасательного центра подтвердил Delfi, что возгорание в Падизе на данный момент нейтрализовано. Пожар начался, когда мужчина начал разрезать металл дисковым резаком. Он предварительно увлажнил почву, но этого оказалось недостаточно. Свое жилье мужчине удалось спасти, но пожар распространился на поле и угрожал другим зданиям. Всего выгорело 12 гектаров земли, но этот пожар уже потушили. ","Press-sekretar' Pyh'jaskogo spasatel'nogo tsentra podtverdil Delfi, chto vozgoranie v Padize na dannyj moment nejtralizovano. Pozhar nachalsja, kogda muzhchina nachal razrezat' metall diskovym rezakom. On predvaritel'no uvlazhnil pochvu, no etogo okazalos' nedostatochno. Svoe zhil'e muzhchine udalos' spasti, no pozhar rasprostranilsja na pole i ugrozhal drugim zdanijam. Vsego vygorelo 12 gektarov zemli, no etot pozhar uzhe potushili. "
"По данным активистов, жертвами резни в деревне Аль-Байда стали 50 человек, а в Баниясе около 200 человек. На предоставленном активистами видео видны окровавленные тела детей и женщин.Предположительно, видео сняли ранним утром в субботу.По данным базирующегося в Лондоне Сирийского центра мониторинга за соблюдением прав человека, десятки жителей аль-Байды и Банияса были застрелены, заколоты ножами или сожжены заживо.Корреспондет Би-би-си в соседнем Ливане сообщает, что сотни семей из Банияса двигаются на юг к городу Тартус, но правительственные войска заблокировали доступ к городу.Государственные СМИ возложили ответственность за инцидент на тех, кого они называют ""террористами"". В свою очередь главная оппозиционная группа обвинила правительство в ""массовой резне"".""Для мира настало время вмешаться и положить конец тяжким преступлениям режима Асада"", - говорится в заявлении Национальной коалиции.""Десятки погибших""Сирийский центр мониторинга за соблюдением прав человека, базирующийся в Британии и следящий за нарушениями с обеих сторон конфликта, сообщил в пятницу, что войска Асада вела бомбардировку в районах Банияса, населенных преимущественно суннитами.Массовое убийство совершили правительственные войска при поддержке лояльных Асаду вооруженных группировок, известных как ""шабиха"", отмечают правозащитники.""Десятки мирных граждан из деревни Аль-Байда пропали без вести, и мы не знаем, арестованы они или убиты, или же им удалось сбежать"", - заявил директор Сирийского центра мониторинга Рами Абдул Рахман.Предыдущие массовые убийства в Сирии  Исходя из имеющихся данных, Аль-Байда - преимущественно суннитская деревня, расположенная в районе, большинство жителей которого - члены секты алавитов. К этому неортодоксальному ответвлению шиитского ислама принадлежит и семья Асадов.По словам корреспондента Би-би-си в соседнем Ливане Джима Мьюра, предполагаемый инцидент в Аль-Байда подчеркивает, что в основе конфликта в Сирии лежат межрелигиозные противоречия: преимущественно состоящее из алавитов правительство пытается преодолеть восстание, зародившееся в суннитском большинстве.Как отмечает наш корреспондент, напряжение может усилиться из-за другого инцидента, сообщения о котором появились в Facebook. По данным активистов, вблизи Дамаска была осквернена святыня, посвященная почитаемой среди шиитов религиозной фигуре - Хаджару ибн Ади.Тем временем, как сообщили государственные СМИ Сирии, повстанцы запустили две ракеты в сторону международного аэропорта, которые нанесли ущерб коммерческому самолету и вызвали возгорание в хранилище с топливом, которое позже удалось локализовать.В четверг президент США Барак Обама заявил, что США готовы рассматривать все сценарии, призванные положить конец конфликту в Сирии. По словам главы Пентагона Чака Хэйгела, Вашингтон пересматривает свою позицию по вопросу снабжения оружием повстанцев.Как подчеркнул Обама, США не будут спешить с решением, чтобы их действия не привели к новым жертвам в Сирии и не осложнили ситуацию.По данным ООН, за два года конфликта в Сирии погибло более семидесяти тысяч человек. Более миллиона человек бежали из страны, тогда как еще миллионы были вынуждены покинуть свои дома и спасаться бегством внутри Сирии.","Po dannym aktivistov, zhertvami rezni v derevne Al'-Bajda stali 50 chelovek, a v Banijase okolo 200 chelovek. Na predostavlennom aktivistami video vidny okrovavlennye tela detej i zhenschin.Predpolozhitel'no, video snjali rannim utrom v subbotu.Po dannym bazirujuschegosja v Londone Sirijskogo tsentra monitoringa za sobljudeniem prav cheloveka, desjatki zhitelej al'-Bajdy i Banijasa byli zastreleny, zakoloty nozhami ili sozhzheny zazhivo.Korrespondet Bi-bi-si v sosednem Livane soobschaet, chto sotni semej iz Banijasa dvigajutsja na jug k gorodu Tartus, no pravitel'stvennye vojska zablokirovali dostup k gorodu.Gosudarstvennye SMI vozlozhili otvetstvennost' za intsident na teh, kogo oni nazyvajut ""terroristami"". V svoju ochered' glavnaja oppozitsionnaja gruppa obvinila pravitel'stvo v ""massovoj rezne"".""Dlja mira nastalo vremja vmeshat'sja i polozhit' konets tjazhkim prestuplenijam rezhima Asada"", - govoritsja v zajavlenii Natsional'noj koalitsii.""Desjatki pogibshih""Sirijskij tsentr monitoringa za sobljudeniem prav cheloveka, bazirujuschijsja v Britanii i sledjaschij za narushenijami s obeih storon konflikta, soobschil v pjatnitsu, chto vojska Asada vela bombardirovku v rajonah Banijasa, naselennyh preimuschestvenno sunnitami.Massovoe ubijstvo sovershili pravitel'stvennye vojska pri podderzhke lojal'nyh Asadu vooruzhennyh gruppirovok, izvestnyh kak ""shabiha"", otmechajut pravozaschitniki.""Desjatki mirnyh grazhdan iz derevni Al'-Bajda propali bez vesti, i my ne znaem, arestovany oni ili ubity, ili zhe im udalos' sbezhat'"", - zajavil direktor Sirijskogo tsentra monitoringa Rami Abdul Rahman.Predyduschie massovye ubijstva v Sirii  Ishodja iz imejuschihsja dannyh, Al'-Bajda - preimuschestvenno sunnitskaja derevnja, raspolozhennaja v rajone, bol'shinstvo zhitelej kotorogo - chleny sekty alavitov. K etomu neortodoksal'nomu otvetvleniju shiitskogo islama prinadlezhit i sem'ja Asadov.Po slovam korrespondenta Bi-bi-si v sosednem Livane Dzhima M'jura, predpolagaemyj intsident v Al'-Bajda podcherkivaet, chto v osnove konflikta v Sirii lezhat mezhreligioznye protivorechija: preimuschestvenno sostojaschee iz alavitov pravitel'stvo pytaetsja preodolet' vosstanie, zarodivsheesja v sunnitskom bol'shinstve.Kak otmechaet nash korrespondent, naprjazhenie mozhet usilit'sja iz-za drugogo intsidenta, soobschenija o kotorom pojavilis' v Facebook. Po dannym aktivistov, vblizi Damaska byla oskvernena svjatynja, posvjaschennaja pochitaemoj sredi shiitov religioznoj figure - Hadzharu ibn Adi.Tem vremenem, kak soobschili gosudarstvennye SMI Sirii, povstantsy zapustili dve rakety v storonu mezhdunarodnogo aeroporta, kotorye nanesli uscherb kommercheskomu samoletu i vyzvali vozgoranie v hranilische s toplivom, kotoroe pozzhe udalos' lokalizovat'.V chetverg prezident SShA Barak Obama zajavil, chto SShA gotovy rassmatrivat' vse stsenarii, prizvannye polozhit' konets konfliktu v Sirii. Po slovam glavy Pentagona Chaka Hejgela, Vashington peresmatrivaet svoju pozitsiju po voprosu snabzhenija oruzhiem povstantsev.Kak podcherknul Obama, SShA ne budut speshit' s resheniem, chtoby ih dejstvija ne priveli k novym zhertvam v Sirii i ne oslozhnili situatsiju.Po dannym OON, za dva goda konflikta v Sirii pogiblo bolee semidesjati tysjach chelovek. Bolee milliona chelovek bezhali iz strany, togda kak esche milliony byli vynuzhdeny pokinut' svoi doma i spasat'sja begstvom vnutri Sirii."
"Поединок продолжался четыре часа. Джокович, побеждавший в Мельбурне три года подряд, сложил свои чемпионские полномочия. В полуфинале Вавринка встретится с чехом Томашем Бердыхом.Вавринка прервал две победные серии Джоковича: во-первых, серб потерпел первое поражение с финала US Open-2013, и таким образом прервалась серия из 28 побед кряду. Кроме того, Джокович впервые за 25 матчей проиграл на Australian Open.","Poedinok prodolzhalsja chetyre chasa. Dzhokovich, pobezhdavshij v Mel'burne tri goda podrjad, slozhil svoi chempionskie polnomochija. V polufinale Vavrinka vstretitsja s chehom Tomashem Berdyhom.Vavrinka prerval dve pobednye serii Dzhokovicha: vo-pervyh, serb poterpel pervoe porazhenie s finala US Open-2013, i takim obrazom prervalas' serija iz 28 pobed krjadu. Krome togo, Dzhokovich vpervye za 25 matchej proigral na Australian Open."
"Из задымленного помещения спасатели эвакуировали трех человек. На месте медики проверили состояние здоровья этих жителей общежития, медпомощь им не потребовалась.Возгорание ликвидировали к 8:25.","Iz zadymlennogo pomeschenija spasateli evakuirovali treh chelovek. Na meste mediki proverili sostojanie zdorov'ja etih zhitelej obschezhitija, medpomosch' im ne potrebovalas'.Vozgoranie likvidirovali k 8:25."
"Работы необходимо выполнить до 4 апреля. Планируется, что предприятие разработает проект выполнения работ и из составных элементов изготовит измерительный аппарат конструкций.Также временными опорами будет укреплено подвальное перекрытие, при этом в случае необходимости с перекрытия будут убраны обломки. Передвигать строительные обломки можно будет только в присутствии экспертов Госполиции.У пяти оставшихся ферм будут установлены временные опоры согласно указаниям экспертов Рижского технического университета (РТУ).Предприятие также устроит бассейн для нагрузки конструкций крыши, необходимый для проведения полицией следственного эксперимента. Эксперимент можно провести после окончания работ. Все работы будут проводиться под тщательным контролем экспертов полиции и РТУ.","Raboty neobhodimo vypolnit' do 4 aprelja. Planiruetsja, chto predprijatie razrabotaet proekt vypolnenija rabot i iz sostavnyh elementov izgotovit izmeritel'nyj apparat konstruktsij.Takzhe vremennymi oporami budet ukrepleno podval'noe perekrytie, pri etom v sluchae neobhodimosti s perekrytija budut ubrany oblomki. Peredvigat' stroitel'nye oblomki mozhno budet tol'ko v prisutstvii ekspertov Gospolitsii.U pjati ostavshihsja ferm budut ustanovleny vremennye opory soglasno ukazanijam ekspertov Rizhskogo tehnicheskogo universiteta (RTU).Predprijatie takzhe ustroit bassejn dlja nagruzki konstruktsij kryshi, neobhodimyj dlja provedenija politsiej sledstvennogo eksperimenta. Eksperiment mozhno provesti posle okonchanija rabot. Vse raboty budut provodit'sja pod tschatel'nym kontrolem ekspertov politsii i RTU."
"Грузооборот, правда, снизился на 4,2 процента — до 28,25 млн тонн.","Gruzooborot, pravda, snizilsja na 4,2 protsenta — do 28,25 mln tonn."
"Предполагается, что весной этого года мужчина несколько раз нападал на случайных прохожих. Дело происходило ночью и на выходных. Мужчина подозревается в нарушении общественного порядка с применением насилия. Подозреваемый находится под стражей.Полиция просит всех, кто мог стать жертвой человека на фотографиях, позвонить по номерам 521 2627, 612 5451 или 110.","Predpolagaetsja, chto vesnoj etogo goda muzhchina neskol'ko raz napadal na sluchajnyh prohozhih. Delo proishodilo noch'ju i na vyhodnyh. Muzhchina podozrevaetsja v narushenii obschestvennogo porjadka s primeneniem nasilija. Podozrevaemyj nahoditsja pod strazhej.Politsija prosit vseh, kto mog stat' zhertvoj cheloveka na fotografijah, pozvonit' po nomeram 521 2627, 612 5451 ili 110."
"Новым главой федерации на конгрессе в Москве избран серб Ненад Лалович.Внесены изменения и в правила. Если раньше продолжительность периодов составляла две минуты, то теперь схватки будут состоять из двух трехминутных периодов. Изменен порядок подсчета очков.После Олимпиады-2014 ФИЛА собирается сократить число вручаемых на Играх бронзовых медалей с двух до одной. Кроме того, в каждой весовой категории будет выступать не более 16 спортсменов.","Novym glavoj federatsii na kongresse v Moskve izbran serb Nenad Lalovich.Vneseny izmenenija i v pravila. Esli ran'she prodolzhitel'nost' periodov sostavljala dve minuty, to teper' shvatki budut sostojat' iz dvuh trehminutnyh periodov. Izmenen porjadok podscheta ochkov.Posle Olimpiady-2014 FILA sobiraetsja sokratit' chislo vruchaemyh na Igrah bronzovyh medalej s dvuh do odnoj. Krome togo, v kazhdoj vesovoj kategorii budet vystupat' ne bolee 16 sportsmenov."
"Женская сборная Эстонии в матче первого тура встречалась в Даугавпилсе с Латвией.Накануне этой встречи букмекеры считали фаворитом противостояния хозяек площадки. Котировка на победу Латвии была 1.30, тогда как возможный выигрыш эстонской команды оценивался коэффициентом 3.20.Однако ход матча опроверг расклады букмекеров. Сборная Эстонии уверенно выиграла стартовый поединок за 64 минуты - 3:0 (25:13, 25:16, 25:9).В субботу эстонские девушки сыграют с Исландией, которая сегодня уступила литовкам - 0:3.В следующий раунд квалификации чемпионата мира выйдут две лучшие команды из группы.Мужская сборная Эстонии в Раквере победила Белоруссию 3:1 (25:23, 20:25, 25:17, 25:21). В субботу подопечные Аво Кеэля встретятся с Данией, которая в пятницу проиграла Латвии - 0:3.","Zhenskaja sbornaja Estonii v matche pervogo tura vstrechalas' v Daugavpilse s Latviej.Nakanune etoj vstrechi bukmekery schitali favoritom protivostojanija hozjaek ploschadki. Kotirovka na pobedu Latvii byla 1.30, togda kak vozmozhnyj vyigrysh estonskoj komandy otsenivalsja koeffitsientom 3.20.Odnako hod matcha oproverg rasklady bukmekerov. Sbornaja Estonii uverenno vyigrala startovyj poedinok za 64 minuty - 3:0 (25:13, 25:16, 25:9).V subbotu estonskie devushki sygrajut s Islandiej, kotoraja segodnja ustupila litovkam - 0:3.V sledujuschij raund kvalifikatsii chempionata mira vyjdut dve luchshie komandy iz gruppy.Muzhskaja sbornaja Estonii v Rakvere pobedila Belorussiju 3:1 (25:23, 20:25, 25:17, 25:21). V subbotu podopechnye Avo Keelja vstretjatsja s Daniej, kotoraja v pjatnitsu proigrala Latvii - 0:3."
"Одной из причин такого скачка является изменение законодательства Финляндии и снижение требования продолжительности постоянного проживания в стране, передает rus.err.ee со ссылкой на радионовости ERR.Новое изменение закона позволяет владеющему финским языком человеку получить гражданство после четырех лет проживания в стране. Требования были смягчены ради улучшения интеграции в Финляндии.Большая часть новых граждан Финляндии приехали из России или из стран Европейского союза.","Odnoj iz prichin takogo skachka javljaetsja izmenenie zakonodatel'stva Finljandii i snizhenie trebovanija prodolzhitel'nosti postojannogo prozhivanija v strane, peredaet rus.err.ee so ssylkoj na radionovosti ERR.Novoe izmenenie zakona pozvoljaet vladejuschemu finskim jazykom cheloveku poluchit' grazhdanstvo posle chetyreh let prozhivanija v strane. Trebovanija byli smjagcheny radi uluchshenija integratsii v Finljandii.Bol'shaja chast' novyh grazhdan Finljandii priehali iz Rossii ili iz stran Evropejskogo sojuza."
"Как сообщает полиция, в среду, 22 мая, в 11:13 на 11-м километре шоссе Вильянди-Сууре-Яани в деревне Вастемыйза грузовик Scania, за рулем которого находился 47-летний Тойво, врезался в остановившийся впереди себя автомобиль Volkswagen Golf, которым управлял 69-летний Вейко, передает rus.err.ee.От полученного удара Volkswagen Golf вылетел на встречную полосу и столкнулся с ехавшей по ней автомашиной Volkswagen Golf Variant, за рулем которой был 55-летний Вольдемар.Вейко и его 65-летнего пассажира доставили в больницу города Вильянди.","Kak soobschaet politsija, v sredu, 22 maja, v 11:13 na 11-m kilometre shosse Vil'jandi-Suure-Jaani v derevne Vastemyjza gruzovik Scania, za rulem kotorogo nahodilsja 47-letnij Tojvo, vrezalsja v ostanovivshijsja vperedi sebja avtomobil' Volkswagen Golf, kotorym upravljal 69-letnij Vejko, peredaet rus.err.ee.Ot poluchennogo udara Volkswagen Golf vyletel na vstrechnuju polosu i stolknulsja s ehavshej po nej avtomashinoj Volkswagen Golf Variant, za rulem kotoroj byl 55-letnij Vol'demar.Vejko i ego 65-letnego passazhira dostavili v bol'nitsu goroda Vil'jandi."
"На юге города Регсвед протестующие напали на полицейский участок и пытались его поджечь. В других пригородах молодые люди бросали камни в полицейских и поджигали автомобили.Полиция заявила, что будет избегать конфронтаций.Родители организовали патрулирование. Они считают, что эта тактика оправдала себя пять лет назад во время схожих конфликтов в другом шведском городе.Как пишут шведские газеты, лишь за одну ночь с воскресенья на понедельник было сожжено более 100 автомобилей.По словам представителя стокгольмской полиции Шелля Линдгрена, поджоги начались в районе Хусбю на западе шведской столицы, после того как стражи порядка застрелили 69-летнего мужчину, который, по их словам, угрожал им мачете.","Na juge goroda Regsved protestujuschie napali na politsejskij uchastok i pytalis' ego podzhech'. V drugih prigorodah molodye ljudi brosali kamni v politsejskih i podzhigali avtomobili.Politsija zajavila, chto budet izbegat' konfrontatsij.Roditeli organizovali patrulirovanie. Oni schitajut, chto eta taktika opravdala sebja pjat' let nazad vo vremja shozhih konfliktov v drugom shvedskom gorode.Kak pishut shvedskie gazety, lish' za odnu noch' s voskresen'ja na ponedel'nik bylo sozhzheno bolee 100 avtomobilej.Po slovam predstavitelja stokgol'mskoj politsii Shellja Lindgrena, podzhogi nachalis' v rajone Husbju na zapade shvedskoj stolitsy, posle togo kak strazhi porjadka zastrelili 69-letnego muzhchinu, kotoryj, po ih slovam, ugrozhal im machete."
"В 10:33 а Выруском уезде, в волости Рыуге, в деревне Нурси в реке Рыуге обнаружили тело утонувшего мужчины 1956 года рождения. В этом году уже утонуло 11 человек. В прошлом году за такой же период утонуло 15 человек.","V 10:33 a Vyruskom uezde, v volosti Ryuge, v derevne Nursi v reke Ryuge obnaruzhili telo utonuvshego muzhchiny 1956 goda rozhdenija. V etom godu uzhe utonulo 11 chelovek. V proshlom godu za takoj zhe period utonulo 15 chelovek."
"Дизайн прототипа дает представление о том, как может выглядеть аналогичная серийная модель, которая займет в линейке марки место на ступеньку выше Sorento. Внедорожник, чья длина превышает 4,6 метра, получил четыре посадочных места, отделку салона деревом, стеклянные элементы крыши и контрастные вставки на передних крыльях в стиле Range Rover. Информации о силовой установке концепт-кара Cross GT пока нет.Помимо Cross GT, на Чикагском автосалоне также представят машину, которая продолжит серию машин для супергероев из «Лиги Справедливости». Ею станет гибридный вариант модели Optima для Супермена.Весной компания Kia покажет еще один прототип. Он продемонстрирует предвестника новой серийной модели, которая, как ожидается, составит конкуренцию кроссоверу Nissan Juke.","Dizajn prototipa daet predstavlenie o tom, kak mozhet vygljadet' analogichnaja serijnaja model', kotoraja zajmet v linejke marki mesto na stupen'ku vyshe Sorento. Vnedorozhnik, ch'ja dlina prevyshaet 4,6 metra, poluchil chetyre posadochnyh mesta, otdelku salona derevom, stekljannye elementy kryshi i kontrastnye vstavki na perednih kryl'jah v stile Range Rover. Informatsii o silovoj ustanovke kontsept-kara Cross GT poka net.Pomimo Cross GT, na Chikagskom avtosalone takzhe predstavjat mashinu, kotoraja prodolzhit seriju mashin dlja supergeroev iz «Ligi Spravedlivosti». Eju stanet gibridnyj variant modeli Optima dlja Supermena.Vesnoj kompanija Kia pokazhet esche odin prototip. On prodemonstriruet predvestnika novoj serijnoj modeli, kotoraja, kak ozhidaetsja, sostavit konkurentsiju krossoveru Nissan Juke."
"Всех, кто может поделиться информацией о местонахождении этого человека, Тартуская криминальная полиция просит позвонить по телефону 5647 9492 или 110.","Vseh, kto mozhet podelit'sja informatsiej o mestonahozhdenii etogo cheloveka, Tartuskaja kriminal'naja politsija prosit pozvonit' po telefonu 5647 9492 ili 110."
"Вызов был получен в 11:00, сообщила Идаская префектура полиции порталу Delfi.”Три автомобиля вылетели в кювет, в ходе происшествии никто не пострадал. Водители не учли дорожные обстоятельства”, — прокомментировал случившееся пресс-секретарь полиции. На месте происшествия движение не нарушено.","Vyzov byl poluchen v 11:00, soobschila Idaskaja prefektura politsii portalu Delfi.”Tri avtomobilja vyleteli v kjuvet, v hode proisshestvii nikto ne postradal. Voditeli ne uchli dorozhnye obstojatel'stva”, — prokommentiroval sluchivsheesja press-sekretar' politsii. Na meste proisshestvija dvizhenie ne narusheno."
"Трагедия произошла в минувшее воскресенье.Родители юной спортсменки обнаружили утром дочь без сознания. Они вызвали скорую помощь, но в больнице спортсменку спасти не смогли.Накануне трагедии юная пловчиха была удостоена специального приза на соревнованиях и вместе с подружками отмечала эту награду на вечеринке.","Tragedija proizoshla v minuvshee voskresen'e.Roditeli junoj sportsmenki obnaruzhili utrom doch' bez soznanija. Oni vyzvali skoruju pomosch', no v bol'nitse sportsmenku spasti ne smogli.Nakanune tragedii junaja plovchiha byla udostoena spetsial'nogo priza na sorevnovanijah i vmeste s podruzhkami otmechala etu nagradu na vecherinke."
"В Брюсселе 7 февраля, с 14:00 до 17:00, уже в четвертый раз фермеры Эстонии, Латвии и Литвы выйдут на демонстрацию требовать равных конкурентных возможностей, пишет Maaleht. Прибалтийские фермерские организации устроят небольшой певческий праздник, на котором также прозвучит песня ”Страны Балтии, проснитесь!”. На демонстрации выступят латвийский хор и литовские молодые фермеры. Эстонию представят музыканты Кайт Тамра и Альдо Ярве.Обсуждению бюджета предшествовал всеевропейский фермерский конгресс, в котором приняли участие также 400 представителей фермеров. От руководителей государств на конгрессе потребовали сильной единой политики в сельскохозяйственной сфере и порядочного субсидирования.  ”На примере стран Балтии мы можем ясно представить к каким негативным последствиям приводит низкое субсидирование и чрезмерно либеральная сельскохозяйственная политика. В странах Балтии в 1990- годах сельское хозяйство составляло около 30% от общего производства, теперь же эта цифра упала больше чем в два раза. Сегодня в Эстонии около 300 000 гектаров неиспользованных сельскохозяйственных угодий, половина всей нашей площади занимает лес, поэтому нам непонятно предложение комиссии о сокращении угодий еще на 60 000 гектаров”, — говорил в своей речи на конгрессе руководитель Эстонской сельскохозяйственной палаты Роомет Сырму.","V Brjussele 7 fevralja, s 14:00 do 17:00, uzhe v chetvertyj raz fermery Estonii, Latvii i Litvy vyjdut na demonstratsiju trebovat' ravnyh konkurentnyh vozmozhnostej, pishet Maaleht. Pribaltijskie fermerskie organizatsii ustrojat nebol'shoj pevcheskij prazdnik, na kotorom takzhe prozvuchit pesnja ”Strany Baltii, prosnites'!”. Na demonstratsii vystupjat latvijskij hor i litovskie molodye fermery. Estoniju predstavjat muzykanty Kajt Tamra i Al'do Jarve.Obsuzhdeniju bjudzheta predshestvoval vseevropejskij fermerskij kongress, v kotorom prinjali uchastie takzhe 400 predstavitelej fermerov. Ot rukovoditelej gosudarstv na kongresse potrebovali sil'noj edinoj politiki v sel'skohozjajstvennoj sfere i porjadochnogo subsidirovanija.  ”Na primere stran Baltii my mozhem jasno predstavit' k kakim negativnym posledstvijam privodit nizkoe subsidirovanie i chrezmerno liberal'naja sel'skohozjajstvennaja politika. V stranah Baltii v 1990- godah sel'skoe hozjajstvo sostavljalo okolo 30% ot obschego proizvodstva, teper' zhe eta tsifra upala bol'she chem v dva raza. Segodnja v Estonii okolo 300 000 gektarov neispol'zovannyh sel'skohozjajstvennyh ugodij, polovina vsej nashej ploschadi zanimaet les, poetomu nam neponjatno predlozhenie komissii o sokraschenii ugodij esche na 60 000 gektarov”, — govoril v svoej rechi na kongresse rukovoditel' Estonskoj sel'skohozjajstvennoj palaty Roomet Syrmu."
